,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,97.22,18.56,36,50.75,24,3,Communication Equipment,Technology,1.48,11.5,0.18,0.709,12.8
1,SIRI,87.5,22.24,32,49.81,1,2,Entertainment,Communication Services,14.717,3.83,0.195,0.642,12.5
2,IART,90.32,12.64,31,38.77,1,2,Medical Devices,Healthcare,2.716,34.72,0.114,0.8,9.13
3,AMC,66.67,22.0,21,37.43,134,3,Entertainment,Communication Services,0.827,3.14,0.147,0.561,8.23
4,COLD,100.0,18.97,9,25.78,2,3,REIT - Industrial,Real Estate,6.972,24.48,0.19,0.349,6.62
5,XMTR,100.0,38.09,6,40.5,3,3,Specialty Industrial Machinery,Industrials,0.843,17.36,0.381,0.148,5.64
6,GNE,95.24,12.06,21,47.0,30,3,Utilities - Regulated Electric,Utilities,0.432,15.8,0.115,0.447,5.13
7,ACRE,50.0,56.56,6,52.5,16,3,REIT - Mortgage,Real Estate,0.395,7.25,0.283,0.114,3.23
8,ARKO,100.0,19.3,6,36.5,3,3,Specialty Retail,Consumer Cyclical,0.692,5.77,0.193,0.164,3.17
9,SIBN,100.0,30.55,3,29.0,1,1,Medical Devices,Healthcare,0.648,15.78,0.306,0.103,3.16
10,MEI,64.1,5.3,39,50.15,1,1,Electronic Components,Technology,0.429,12.11,0.034,0.778,2.64
11,UNFI,66.67,4.02,39,55.69,1,3,Food Distribution,Consumer Defensive,0.666,11.2,0.027,0.7,1.88
12,COUR,100.0,26.43,3,44.0,2,3,Education & Training Services,Consumer Defensive,2.182,13.9,0.264,0.068,1.8
13,AMCX,66.67,10.33,12,49.75,16,3,Entertainment,Communication Services,0.516,11.84,0.069,0.241,1.66
14,DBX,100.0,13.35,6,49.33,13,3,Software - Infrastructure,Technology,8.362,24.31,0.134,0.122,1.62
15,LUNG,66.67,43.25,3,57.0,7,3,Medical Devices,Healthcare,0.352,9.13,0.288,0.053,1.52
16,ZIP,100.0,15.43,3,34.0,6,1,Staffing & Employment Services,Industrials,1.125,11.36,0.154,0.088,1.36
17,TWKS,100.0,7.02,9,57.44,2,3,Information Technology Services,Technology,0.807,2.5,0.07,0.157,1.1
18,PACB,47.62,5.83,21,55.38,2,3,Medical Devices,Healthcare,0.978,3.65,0.028,0.379,1.05
19,IAS,100.0,7.07,6,46.5,5,3,Advertising Agencies,Communication Services,1.549,9.71,0.071,0.129,0.91
20,NYCB,50.0,3.26,24,47.75,24,3,Banks - Regional,Financial Services,2.561,3.21,0.016,0.503,0.82
21,FWRD,42.86,3.97,21,51.05,31,3,Integrated Freight & Logistics,Industrials,0.763,28.93,0.017,0.411,0.7
22,HRZN,66.67,4.06,9,48.67,1,3,Asset Management,Financial Services,0.377,11.29,0.027,0.185,0.5
23,FSLY,-33.33,-52.86,3,189.0,6,3,Software - Application,Technology,1.754,13.07,0.176,0.016,0.28
24,MNTK,-33.33,-37.12,3,134.0,24,3,Utilities - Diversified,Utilities,0.596,4.15,0.124,0.022,0.28
25,CNXC,-16.67,-17.38,6,85.0,4,3,Information Technology Services,Technology,4.156,63.38,0.029,0.071,0.2
26,LBRDK,55.56,1.69,9,82.89,20,3,Telecom Services,Communication Services,7.961,55.75,0.009,0.109,0.1
27,LBRDA,33.33,-4.93,6,111.5,20,3,Telecom Services,Communication Services,7.968,55.47,-0.016,0.054,-0.09
28,IRWD,12.5,-4.98,8,46.62,3,3,Drug Manufacturers - Specialty & Generic,Healthcare,1.348,8.61,-0.006,0.172,-0.11
29,ROKU,55.56,-3.14,9,93.33,11,3,Entertainment,Communication Services,9.213,64.19,-0.017,0.096,-0.17
30,IRDM,25.0,-5.69,12,66.5,18,3,Telecom Services,Communication Services,3.182,25.99,-0.014,0.18,-0.26
31,AEHR,51.85,-1.71,27,73.19,37,3,Semiconductor Equipment & Materials,Technology,0.356,12.35,-0.009,0.369,-0.33
32,TTEC,55.56,-3.09,36,61.58,1,2,Information Technology Services,Technology,0.485,10.22,-0.017,0.585,-1.0
