,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,RUN,100.0,59.26,9,20.0,58,0,Solar,Technology,2.609,11.88,0.593,0.45,26.67
1,DXCM,90.0,26.13,30,35.9,66,0,Medical Devices,Healthcare,44.458,115.32,0.235,0.836,19.65
2,LNG,65.71,33.71,35,47.4,954,0,Oil & Gas Midstream,Energy,35.95,153.18,0.222,0.738,16.36
3,LGIH,100.0,33.62,18,37.33,70,0,Residential Construction,Consumer Cyclical,2.624,111.27,0.336,0.482,16.21
4,AXL,80.95,19.49,42,44.57,945,0,Auto Parts,Consumer Cyclical,0.784,6.7,0.158,0.942,14.87
5,UVV,84.72,8.76,72,39.96,327,0,Tobacco,Consumer Defensive,1.188,48.33,0.074,1.802,13.37
6,CBRL,87.72,10.73,57,40.23,67,0,Restaurants,Consumer Cyclical,1.556,70.1,0.094,1.417,13.34
7,SIRI,83.33,21.12,36,48.03,166,0,Entertainment,Communication Services,18.021,4.69,0.176,0.75,13.19
8,AMT,85.71,23.12,21,33.0,308,0,REIT - Specialty,Real Estate,87.024,186.68,0.198,0.636,12.61
9,TDS,84.06,7.62,69,35.59,157,0,Telecom Services,Communication Services,1.669,14.77,0.064,1.939,12.42
10,GNL,100.0,17.68,21,35.29,57,0,REIT - Diversified,Real Estate,1.709,7.34,0.177,0.595,10.52
11,RENB,75.0,75.19,12,67.25,138,0,Biotechnology,Healthcare,0.312,2.17,0.564,0.178,10.06
12,IFF,92.31,10.08,39,37.0,954,0,Specialty Chemicals,Basic Materials,19.003,74.44,0.093,1.054,9.81
13,AKAM,73.33,13.17,45,44.47,219,0,Software - Infrastructure,Technology,16.272,107.76,0.097,1.012,9.77
14,EXAS,79.49,16.09,39,51.67,35,0,Diagnostics & Research,Healthcare,10.329,56.9,0.128,0.755,9.65
15,ADBE,77.08,13.32,48,52.25,312,0,Software - Infrastructure,Technology,249.725,552.49,0.103,0.919,9.43
16,BELFB,93.33,28.7,15,44.4,937,0,Electronic Components,Technology,0.672,51.25,0.268,0.338,9.05
17,GMRE,80.0,16.89,15,22.6,304,0,REIT - Healthcare Facilities,Real Estate,0.614,9.37,0.135,0.664,8.97
18,ROIC,100.0,50.49,6,35.0,57,0,REIT - Retail,Real Estate,1.624,12.79,0.505,0.171,8.66
19,TBI,74.36,13.69,39,46.38,958,0,Staffing & Employment Services,Industrials,0.373,11.89,0.102,0.841,8.56
20,PEAK,100.0,9.11,36,38.83,49,0,REIT - Healthcare Facilities,Real Estate,8.886,16.24,0.091,0.927,8.45
21,MMM,87.88,6.06,66,42.05,59,0,Conglomerates,Industrials,51.014,92.3,0.053,1.57,8.36
22,DENN,73.33,16.41,30,44.3,69,0,Restaurants,Consumer Cyclical,0.484,9.26,0.12,0.677,8.15
23,BRC,88.1,9.71,42,44.21,316,0,Security & Protection Services,Industrials,2.777,57.46,0.086,0.95,8.13
24,RC,73.33,27.86,15,38.8,205,0,REIT - Mortgage,Real Estate,1.55,8.93,0.204,0.387,7.9
25,BWA,82.05,7.61,39,31.26,954,0,Auto Parts,Consumer Cyclical,7.05,30.68,0.062,1.248,7.79
26,PENN,80.0,11.34,30,35.6,498,0,Resorts & Casinos,Consumer Cyclical,2.676,17.63,0.091,0.843,7.64
27,LEG,73.02,7.16,63,43.67,53,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,2.753,20.64,0.052,1.443,7.54
28,INVA,85.71,16.08,21,38.71,815,0,Biotechnology,Healthcare,0.985,15.37,0.138,0.542,7.48
29,BILL,100.0,26.98,6,21.83,38,0,Software - Application,Technology,6.785,64.54,0.27,0.275,7.42
30,POWI,84.85,11.24,33,42.67,1312,0,Semiconductors,Technology,4.006,70.42,0.095,0.773,7.38
31,PRGS,93.33,10.24,30,39.0,54,0,Software - Application,Technology,2.331,53.13,0.096,0.769,7.35
32,BOH,84.31,6.66,51,39.53,171,0,Banks - Regional,Financial Services,2.397,60.3,0.056,1.29,7.24
33,CAR,75.0,7.33,60,45.98,382,0,Rental & Leasing Services,Industrials,3.796,107.02,0.055,1.305,7.17
34,FRT,83.33,8.0,36,34.17,937,0,REIT - Retail,Real Estate,8.188,97.91,0.067,1.054,7.02
35,BHB,100.0,10.97,15,24.2,1103,0,Banks - Regional,Financial Services,0.377,24.83,0.11,0.62,6.8
36,VMI,69.23,5.56,78,44.59,959,0,Conglomerates,Industrials,4.434,212.23,0.038,1.749,6.73
37,PEN,100.0,14.29,9,19.33,56,0,Medical Devices,Healthcare,8.992,232.32,0.143,0.466,6.65
38,AMGN,76.92,8.89,39,40.23,224,0,Drug Manufacturers - General,Healthcare,149.248,278.49,0.068,0.969,6.63
39,BERY,85.71,13.56,21,37.71,429,0,Packaging & Containers,Consumer Cyclical,6.765,58.36,0.116,0.557,6.47
40,TCBK,100.0,25.15,6,23.5,172,0,Banks - Regional,Financial Services,1.112,33.44,0.252,0.255,6.42
41,EFC,100.0,14.2,21,46.71,392,0,REIT - Mortgage,Real Estate,0.937,11.29,0.142,0.45,6.38
42,MCB,100.0,30.89,9,43.67,56,0,Banks - Regional,Financial Services,0.459,41.49,0.309,0.206,6.37
43,ALEX,100.0,10.58,27,45.56,50,0,REIT - Retail,Real Estate,1.231,16.97,0.106,0.593,6.27
44,ADC,100.0,7.48,21,26.14,65,0,REIT - Retail,Real Estate,5.65,56.01,0.075,0.803,6.01
45,SABR,100.0,39.08,9,59.33,144,0,Travel Services,Consumer Cyclical,1.013,2.67,0.391,0.152,5.93
46,CLDT,85.71,14.64,21,46.1,151,0,REIT - Hotel & Motel,Real Estate,0.501,10.0,0.125,0.456,5.72
47,IBTX,66.67,16.16,18,34.67,172,0,Banks - Regional,Financial Services,1.8,43.6,0.108,0.519,5.59
48,BMO,81.82,7.24,33,36.55,55,0,Banks - Diversified,Financial Services,65.292,90.39,0.059,0.903,5.35
49,GTN,70.27,11.13,37,54.16,157,0,Broadcasting,Communication Services,0.563,5.67,0.078,0.683,5.34
50,COLD,100.0,16.94,9,28.78,49,0,REIT - Industrial,Real Estate,7.096,24.94,0.169,0.313,5.3
51,SMAR,100.0,19.69,9,33.56,381,0,Software - Application,Technology,5.783,42.44,0.197,0.268,5.28
52,PFC,100.0,11.39,21,45.67,933,0,Banks - Regional,Financial Services,0.688,19.25,0.114,0.46,5.24
53,INDB,74.07,11.52,27,44.67,151,0,Banks - Regional,Financial Services,2.245,52.37,0.085,0.604,5.16
54,CAC,88.89,7.85,27,36.78,76,0,Banks - Regional,Financial Services,0.463,31.81,0.07,0.734,5.12
55,GDEN,66.67,11.99,33,51.91,62,0,Resorts & Casinos,Consumer Cyclical,1.035,36.17,0.08,0.636,5.08
56,QDEL,60.87,9.54,46,52.83,54,0,Medical Devices,Healthcare,3.127,46.8,0.058,0.871,5.06
57,PFS,83.33,11.15,18,33.11,172,0,Banks - Regional,Financial Services,1.137,15.05,0.093,0.544,5.05
58,LAND,85.71,10.65,21,38.29,181,0,REIT - Specialty,Real Estate,0.464,12.86,0.091,0.548,5.01
59,GH,100.0,21.26,12,52.25,192,0,Diagnostics & Research,Healthcare,2.377,19.53,0.213,0.23,4.88
60,FFWM,83.33,15.14,18,46.83,50,0,Banks - Regional,Financial Services,0.446,7.89,0.126,0.384,4.85
61,BE,84.62,17.86,13,40.69,60,0,Electrical Equipment & Parts,Industrials,2.097,9.32,0.151,0.319,4.83
62,TFX,78.57,6.74,42,46.33,59,0,Medical Instruments & Supplies,Healthcare,10.637,226.04,0.053,0.907,4.8
63,DUK,91.67,6.4,24,30.0,1420,0,Utilities - Regulated Electric,Utilities,70.028,90.85,0.059,0.8,4.69
64,AWR,67.24,4.18,58,34.98,470,0,Utilities - Regulated Water,Utilities,2.649,71.62,0.028,1.658,4.66
65,HTBK,83.33,13.07,18,42.56,172,0,Banks - Regional,Financial Services,0.502,8.21,0.109,0.423,4.61
66,MGEE,75.0,5.35,28,25.43,72,0,Utilities - Regulated Electric,Utilities,2.303,63.68,0.04,1.101,4.42
67,USM,72.22,5.57,54,49.46,157,0,Telecom Services,Communication Services,2.854,33.58,0.04,1.092,4.39
68,NYT,69.49,5.21,59,49.22,387,0,Publishing,Communication Services,7.194,43.84,0.036,1.199,4.34
69,FSK,100.0,18.86,9,39.67,535,0,Asset Management,Financial Services,5.271,18.82,0.189,0.227,4.28
70,VLY,88.0,6.66,25,35.2,172,0,Banks - Regional,Financial Services,4.173,8.22,0.059,0.71,4.16
71,GILD,66.67,14.52,21,49.71,461,0,Drug Manufacturers - General,Healthcare,90.966,73.02,0.097,0.422,4.09
72,UCBI,59.26,13.82,27,54.22,172,0,Banks - Regional,Financial Services,3.066,25.75,0.082,0.498,4.08
73,EMBC,100.0,24.73,6,37.0,59,0,Medical Instruments & Supplies,Healthcare,0.83,14.42,0.247,0.162,4.01
74,FBMS,63.89,4.79,36,27.83,933,0,Banks - Regional,Financial Services,0.761,24.22,0.031,1.294,3.96
75,HLX,62.79,6.16,43,42.98,381,0,Oil & Gas Equipment & Services,Energy,1.387,9.11,0.039,1.0,3.87
76,SITM,100.0,34.74,3,27.0,314,0,Semiconductors,Technology,2.119,93.4,0.347,0.111,3.86
77,EGBN,62.5,10.19,24,39.88,60,0,Banks - Regional,Financial Services,0.695,23.22,0.064,0.602,3.83
78,COMM,66.67,9.86,30,51.97,44,0,Communication Equipment,Technology,0.416,1.96,0.066,0.577,3.79
79,LGF-B,100.0,18.53,9,44.33,390,0,Entertainment,Communication Services,2.016,8.37,0.185,0.203,3.76
80,SJW,72.13,3.46,61,40.59,61,0,Utilities - Regulated Water,Utilities,1.802,56.2,0.025,1.503,3.75
81,ENR,80.95,11.47,21,52.29,443,0,Electrical Equipment & Parts,Industrials,2.06,28.7,0.093,0.402,3.73
82,SSP,76.47,4.99,51,52.47,60,0,Broadcasting,Communication Services,0.396,4.68,0.038,0.972,3.71
83,MSEX,81.13,3.55,53,41.3,45,0,Utilities - Regulated Water,Utilities,0.907,50.92,0.029,1.283,3.7
84,AES,62.96,10.55,27,49.22,58,0,Utilities - Diversified,Utilities,10.725,15.1,0.066,0.549,3.64
85,GTY,59.72,4.02,72,47.72,471,0,REIT - Retail,Real Estate,1.413,26.18,0.024,1.509,3.62
86,RAMP,68.89,6.2,45,54.49,307,0,Software - Infrastructure,Technology,2.38,35.96,0.043,0.826,3.53
87,UMH,60.87,4.71,46,37.46,191,0,REIT - Residential,Real Estate,0.947,14.26,0.029,1.228,3.52
88,RAPT,100.0,24.36,6,41.5,187,0,Biotechnology,Healthcare,0.309,8.99,0.244,0.145,3.52
89,REXR,100.0,11.31,9,29.33,313,0,REIT - Industrial,Real Estate,11.27,51.08,0.113,0.307,3.47
90,LEU,56.67,14.39,30,71.1,170,0,Uranium,Energy,0.627,39.97,0.082,0.422,3.44
91,JACK,57.58,10.28,33,57.15,58,0,Restaurants,Consumer Cyclical,1.402,71.78,0.059,0.577,3.42
92,JBSS,65.79,7.01,38,51.66,392,0,Packaged Foods,Consumer Defensive,1.133,97.71,0.046,0.736,3.39
93,SYNA,69.23,6.19,39,49.69,152,0,Semiconductors,Technology,3.99,101.53,0.043,0.785,3.36
94,EPRT,100.0,20.01,6,36.5,58,0,REIT - Diversified,Real Estate,4.021,24.13,0.2,0.164,3.29
95,GT,62.96,3.35,81,52.67,429,0,Auto Parts,Consumer Cyclical,3.373,11.88,0.021,1.538,3.24
96,ACRE,50.0,56.56,6,52.5,937,0,REIT - Mortgage,Real Estate,0.396,7.27,0.283,0.114,3.23
97,VBTX,100.0,13.23,9,37.33,181,0,Banks - Regional,Financial Services,1.075,19.79,0.132,0.241,3.19
