,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,RUN,100.0,59.26,9,20.0,70,0,Solar,Technology,2.088,9.51,0.593,0.45,26.67
1,OTLK,100.0,59.45,12,40.58,89,0,Biotechnology,Healthcare,0.075,5.73,0.594,0.296,17.58
2,DKL,100.0,123.0,3,24.0,974,0,Oil & Gas Refining & Marketing,Energy,1.849,39.17,1.23,0.125,15.38
3,SIRI,87.5,22.24,32,49.81,178,0,Entertainment,Communication Services,15.677,4.08,0.195,0.642,12.5
4,BLTE,100.0,96.39,3,25.0,158,0,Biotechnology,Healthcare,1.125,37.81,0.964,0.12,11.57
5,DMRC,69.7,20.0,33,41.67,398,0,Information Technology Services,Technology,0.564,27.6,0.139,0.792,11.04
6,AXGN,66.67,37.21,18,40.89,79,0,Medical Devices,Healthcare,0.335,7.76,0.248,0.44,10.92
7,ENVX,100.0,47.54,6,27.5,61,0,Electrical Equipment & Parts,Industrials,1.308,7.76,0.475,0.218,10.37
8,TCPC,100.0,28.01,10,29.4,70,0,Asset Management,Financial Services,0.587,10.17,0.28,0.34,9.53
9,GL,100.0,10.12,33,36.18,970,0,Insurance - Life,Financial Services,10.869,115.99,0.101,0.912,9.23
10,IART,90.32,12.64,31,38.77,61,0,Medical Devices,Healthcare,2.726,34.85,0.114,0.8,9.13
11,MMSI,79.49,12.88,39,51.62,75,0,Medical Instruments & Supplies,Healthcare,4.167,71.93,0.102,0.756,7.74
12,LEG,73.02,7.21,63,43.37,65,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,2.482,18.56,0.053,1.453,7.65
13,ALEX,100.0,10.51,27,45.44,62,0,REIT - Retail,Real Estate,1.156,15.92,0.105,0.594,6.24
14,XMTR,100.0,38.09,6,40.5,191,0,Specialty Industrial Machinery,Industrials,0.822,16.92,0.381,0.148,5.64
15,THO,66.1,6.74,59,47.66,648,0,Recreational Vehicles,Consumer Cyclical,5.382,100.92,0.045,1.238,5.52
16,DLTR,76.67,8.75,30,40.03,70,0,Discount Stores,Consumer Defensive,27.284,125.23,0.067,0.749,5.03
17,ARKO,100.0,14.14,12,35.25,488,0,Specialty Retail,Consumer Cyclical,0.668,5.57,0.141,0.34,4.81
18,X,66.1,5.29,59,44.0,401,0,Steel,Basic Materials,8.601,38.26,0.035,1.341,4.69
19,AMPH,100.0,13.56,11,34.27,339,0,Drug Manufacturers - Specialty & Generic,Healthcare,2.077,43.19,0.136,0.321,4.35
20,SABR,100.0,26.31,9,57.0,156,0,Travel Services,Consumer Cyclical,0.721,1.9,0.263,0.158,4.15
21,MBUU,50.0,49.91,6,40.5,968,0,Recreational Vehicles,Consumer Cyclical,0.781,38.24,0.25,0.148,3.7
22,HR,95.83,7.04,24,50.08,61,0,REIT - Healthcare Facilities,Real Estate,4.932,12.94,0.067,0.479,3.23
23,FL,53.66,4.56,82,62.95,102,0,Apparel Retail,Consumer Cyclical,2.157,22.91,0.024,1.303,3.19
24,SIBN,100.0,30.55,3,29.0,54,0,Medical Devices,Healthcare,0.663,16.15,0.306,0.103,3.16
25,TBBK,61.11,14.74,18,53.67,949,0,Banks - Regional,Financial Services,1.811,34.33,0.09,0.335,3.02
26,MEI,64.1,5.3,39,50.08,67,0,Electronic Components,Technology,0.443,12.52,0.034,0.779,2.65
